BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,GRID,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LATITUDE,LAUNDRY_ROOMS,LONGITUDE,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WARDNAME,WATER_PEN_EXT_BLDG_ELEMENTS,X,Y,YEAR_BUILT,YEAR_EVALUATED,YEAR_REGISTERED,_id
4,12,153,4,4,4,2021-12-31,4,4,4,3,4,5,S1422,4,4,4,43.6902830528,3,-79.3461159995,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154101,79,5,150 COSBURN AVE,4,N/A,14,Toronto-Danforth,4,317189.748,4838714.494,1962,2021,2017,29320
5,6,48,4,4,4,2021-12-31,3,4,3,4,N/A,5,S1422,4,4,4,43.689964772,3,-79.3476769455,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154102,79,5,130 COSBURN AVE,4,N/A,14,Toronto-Danforth,4,317063.986,4838678.909,1956,2021,2017,29321
3,6,47,4,4,4,2021-12-31,3,4,4,3,N/A,5,S1422,4,4,4,43.6904180968,4,-79.3451955874,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154095,78,5,190 COSBURN AVE,4,4,14,Toronto-Danforth,4,317263.914,4838729.63,1959,2021,2017,29322
4,12,152,3,3,3,2021-12-31,3,3,3,2,3,3,S1421,3,2,3,43.6904194773,3,-79.350649972,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 1 year,4154134,60,4,100 GAMBLE AVE,2,N/A,14,Toronto-Danforth,3,316824.231,4838729.001,1965,2021,2017,29323
4,4,30,N/A,4,4,2021-12-31,3,3,4,3,N/A,5,S1422,5,3,3,43.6899589515,4,-79.3450906815,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154091,74,5,175 COSBURN AVE,3,N/A,14,Toronto-Danforth,3,317272.466,4838678.636,1965,2021,2017,29324
N/A,3,34,N/A,4,3,2021-12-31,3,4,4,4,N/A,5,S1421,4,3,3,43.6867361824,3,-79.3548678509,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154108,75,5,15 BATER AVE,3,N/A,14,Toronto-Danforth,4,316484.95,4838319.22,1960,2021,2017,29325
N/A,4,25,N/A,4,4,2021-12-31,4,4,4,4,N/A,5,S1439,4,3,4,43.6655838194,4,-79.3210240096,15,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153637,80,5,1480 QUEEN ST E,3,N/A,14,Toronto-Danforth,4,319218.389,4835974.545,1990,2021,2017,29326
2,6,83,3,4,5,2021-12-31,2,2,3,4,N/A,5,S1422,5,4,3,43.6897704258,3,-79.345544715,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154090,69,5,165 COSBURN AVE,3,N/A,14,Toronto-Danforth,3,317235.905,4838657.626,1950,2021,2017,29327
3,5,53,4,4,3,2021-12-30,3,4,4,3,3,5,E2037,3,3,4,43.7293849818,3,-79.2268912004,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152779,73,5,3207 KINGSTON RD,4,N/A,20,Scarborough Southwest,4,326786.54,4843083.157,1968,2021,2017,29328
4,6,83,4,5,4,2021-12-30,4,4,5,4,3,5,E2032,4,4,5,43.7220603014,3,-79.2433036928,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 2 years,4152781,84,5,131 MINERVA AVE,4,N/A,20,Scarborough Southwest,4,325466.841,4842265.24,1964,2021,2017,29329
4,6,90,4,4,4,2021-12-30,4,4,4,3,4,5,E2032,5,4,5,43.7218512738,4,-79.2442216236,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4152780,87,5,121 MINERVA AVE,5,N/A,20,Scarborough Southwest,5,325392.954,4842241.788,1964,2021,2017,29330
3,12,166,3,4,3,2021-12-30,2,3,4,3,2,5,E2027,3,3,4,43.7418275772,2,-79.221378358,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152791,67,5,3161 EGLINTON AVE E,3,N/A,20,Scarborough Southwest,4,327226.052,4844466.914,1969,2021,2017,29331
4,7,82,4,4,4,2021-12-30,3,3,4,3,N/A,5,E2027,4,3,4,43.7417156898,3,-79.2228457117,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4152790,72,4,3131 EGLINTON AVE E,3,N/A,20,Scarborough Southwest,4,327107.906,4844454.096,1960,2021,2017,29332
4,12,100,4,5,4,2021-12-29,4,4,4,4,4,5,E2027,4,3,4,43.7353054239,3,-79.2199852938,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152784,80,5,40 PARKCREST DR,3,N/A,20,Scarborough Southwest,4,327340.686,4843742.709,1967,2021,2017,29333
4,8,94,2,3,3,2021-12-28,3,4,4,2,1,2,E2030,2,3,3,43.7142950675,2,-79.2692166242,18,4,N/A,TCHC,Evaluation needs to be conducted in 1 year,4155564,58,4,3479 ST CLAIR AVE E,2,N/A,20,Scarborough Southwest,4,323381.434,4841396.427,1970,2021,2017,29334
5,17,121,4,5,5,2021-12-28,4,5,5,4,4,5,S1421,5,5,3,43.6883007663,4,-79.3508994916,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154119,87,5,100 GOWAN AVE,2,N/A,14,Toronto-Danforth,4,316804.549,4838493.588,1966,2021,2017,29335
5,11,88,4,5,5,2021-12-28,4,5,5,4,4,5,S1421,5,5,5,43.6881568082,4,-79.351627018,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154118,90,5,80 GOWAN AVE,3,N/A,14,Toronto-Danforth,4,316745.93,4838477.495,1968,2021,2017,29336
3,4,29,4,4,4,2021-12-28,4,4,4,4,3,5,S1441,5,4,5,43.6619961657,3,-79.3310761018,20,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153625,81,5,54 MARIGOLD AVE,5,3,14,Toronto-Danforth,4,318408.525,4835574.305,1996,2021,2017,29337
4,4,14,N/A,4,3,2021-12-24,3,3,3,3,N/A,5,S1442,3,3,3,43.6636837516,3,-79.3210818522,16,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153620,69,5,970 EASTERN AVE,2,N/A,14,Toronto-Danforth,4,319214.185,4835763.44,1989,2021,2017,29338
4,4,51,4,4,4,2021-12-24,4,3,4,2,3,5,S1435,3,3,2,43.6625439374,4,-79.3369204531,17,N/A,N/A,TCHC,Evaluation needs to be conducted in 2 years,4153632,71,5,29 LOUVAIN AVE,2,N/A,14,Toronto-Danforth,4,317937.063,4835634.227,1993,2021,2017,29339
5,6,48,4,4,4,2021-12-24,5,4,4,4,N/A,5,S1421,5,4,4,43.689657175,4,-79.3516154158,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154124,84,5,65 GAMBLE AVE,4,4,14,Toronto-Danforth,4,316746.563,4838644.181,1955,2021,2017,29340
4,5,40,3,4,4,2021-12-24,3,4,4,4,2,5,S1441,5,3,4,43.6624909475,3,-79.3328836483,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4153626,77,5,1167 QUEEN ST E,4,N/A,14,Toronto-Danforth,4,318262.632,4835628.983,1995,2021,2017,29341
N/A,8,69,5,5,5,2021-12-24,5,5,4,4,5,5,S1428,5,4,5,43.6751635121,5,-79.3574685355,18,4,4,TCHC,Evaluation needs to be conducted in 3 years,4153608,94,5,717 BROADVIEW AVE,5,N/A,14,Toronto-Danforth,5,316277.466,4837033.163,1972,2021,2017,29342
4,4,80,N/A,4,2,2021-12-24,4,3,4,5,N/A,3,S1441,4,2,2,43.66049693,3,-79.336536519,16,N/A,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156036,66,5,17 RENWICK CRES,1,4,14,Toronto-Danforth,3,317958.359,4835419.239,1996,2021,2017,29343
N/A,4,54,N/A,5,4,2021-12-24,5,5,4,4,N/A,5,S1428,4,4,4,43.6726051315,3,-79.3542475992,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153605,85,5,9 TENNIS CRES,4,4,14,Toronto-Danforth,4,316537.683,4836749.389,1931,2021,2017,29344
5,6,49,3,5,4,2021-12-24,3,4,4,3,N/A,5,S1421,4,3,4,43.6895687051,4,-79.3520550359,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154123,78,5,51 GAMBLE AVE,3,N/A,14,Toronto-Danforth,4,316711.144,4838634.294,1960,2021,2017,29345
4,3,17,N/A,4,4,2021-12-24,4,3,4,3,N/A,5,S1442,4,4,4,43.663039249,4,-79.32501186,17,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153621,80,5,137 SEARS ST,4,N/A,14,Toronto-Danforth,4,318897.114,4835692.138,1995,2021,2017,29346
4,5,131,4,5,4,2021-12-23,4,3,4,4,3,5,S1424,3,3,4,43.6763304427,4,-79.3597559522,18,3,N/A,TCHC,Evaluation needs to be conducted in 2 years,4153615,78,5,80 DANFORTH AVE,4,N/A,14,Toronto-Danforth,4,316092.805,4837162.489,1978,2021,2017,29347
N/A,5,28,N/A,3,3,2021-12-23,3,2,3,2,N/A,2,S1434,4,3,5,43.6667648172,3,-79.3456335069,15,N/A,2,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4269424,61,5,793 GERRARD ST E,3,N/A,14,Toronto-Danforth,3,317233.48,4836101.799,1950,2021,2017,29348
5,5,177,4,5,4,2021-12-23,4,4,4,3,4,5,S1435,5,4,4,43.6620660934,4,-79.3367847076,18,N/A,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153633,86,5,1070 QUEEN ST E,4,N/A,14,Toronto-Danforth,5,317948.115,4835581.161,1993,2021,2017,29349
4,29,554,4,3,4,2021-12-23,2,4,4,4,4,5,S1323,3,3,4,43.6680679061,3,-79.3717553706,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4240826,71,5,240 WELLESLEY ST E,2,N/A,13,Toronto Centre,3,315147.721,4836236.53,1968,2021,2017,29350
N/A,7,195,4,5,4,2021-12-23,4,5,4,5,N/A,5,W0221,5,4,5,43.680522919,5,-79.55416175,16,5,N/A,PRIVATE,Evaluation needs to be conducted in 3 years,4270534,91,5,105 CLEMENT RD,4,N/A,02,Etobicoke Centre,4,300417.27,4837621.239,1981,2021,2017,29351
4,5,48,4,4,4,2021-12-23,3,4,4,4,N/A,5,W0327,4,3,4,43.6371995411,4,-79.493365223,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155277,76,4,323 PARK LAWN RD,4,N/A,03,Etobicoke-Lakeshore,3,305319.61,4832805.873,1955,2021,2018,29352
3,15,223,2,4,2,2021-12-23,3,2,3,4,2,3,E2028,3,2,3,43.705953312,3,-79.279044598,19,3,4,TCHC,Evaluation needs to be conducted in 1 year,4152596,60,5,682 WARDEN AVE,3,N/A,20,Scarborough Southwest,3,322591.704,4840468.483,1964,2021,2017,29353
N/A,3,23,N/A,4,5,2021-12-21,3,4,4,4,N/A,5,W0336,4,4,4,43.6162416017,5,-79.4892718985,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4155483,84,5,26 ALBERT AVE,5,N/A,03,Etobicoke-Lakeshore,3,305650.222,4830477.596,1950,2021,2017,29354
4,3,11,N/A,4,4,2021-12-20,4,4,4,4,N/A,5,E2021,4,4,4,43.7223884038,3,-79.2991027155,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152619,80,5,23 ENGELHART CRES,4,3,20,Scarborough Southwest,4,320971.04,4842289.348,1956,2021,2017,29355
N/A,4,79,4,4,4,2021-12-20,5,4,5,5,3,5,N0624,3,4,4,43.7599025231,4,-79.4643820727,18,5,4,TCHC,Evaluation needs to be conducted in 3 years,4154616,86,5,750 WILSON HEIGHTS BLVD,4,N/A,06,York Centre,5,307652.61,4846438.066,1993,2021,2017,29356
4,15,172,4,4,5,2021-12-20,4,3,3,3,4,5,N0624,4,4,5,43.7710438597,3,-79.4492292912,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154643,74,4,3 GOLDFINCH CRT,4,3,06,York Centre,2,308871.972,4847676.448,1964,2021,2017,29357
4,6,24,4,4,4,2021-12-20,4,4,4,3,4,5,E2033,5,4,4,43.6751742383,4,-79.2785094053,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152560,82,5,2440 QUEEN ST E,4,N/A,20,Scarborough Southwest,4,322644.203,4837048.226,1970,2021,2017,29358
4,4,65,4,3,4,2021-12-20,3,4,4,4,N/A,5,E2033,4,4,3,43.6861001378,4,-79.2821331164,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152578,78,5,2 NORTH DR,4,N/A,20,Scarborough Southwest,3,322348.881,4838261.291,1964,2021,2017,29359
N/A,3,11,N/A,3,3,2021-12-20,5,3,4,2,N/A,5,N0629,5,4,4,43.742014423,4,-79.4373039157,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4327367,76,4,12 ROSSEAU RD,3,N/A,06,York Centre,5,309843.087,4844439.041,1949,2021,2018,29360
4,5,34,4,4,4,2021-12-20,3,4,4,3,3,5,E2033,4,4,3,43.681743847,4,-79.2813013982,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152573,76,5,1140 KINGSTON RD,4,N/A,20,Scarborough Southwest,3,322417.201,4837777.498,1971,2021,2017,29361
N/A,3,14,N/A,3,3,2021-12-20,3,2,2,3,N/A,5,E2034,2,3,3,43.687794468,2,-79.270325262,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4156379,55,2,1449 KINGSTON RD,2,N/A,20,Scarborough Southwest,3,323298.758,4838460.592,1940,2021,2017,29362
N/A,3,14,N/A,3,3,2021-12-20,3,3,3,3,N/A,4,E2034,2,2,3,43.687961104,2,-79.269766888,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4156035,55,2,1463 KINGSTON RD,2,N/A,20,Scarborough Southwest,3,323354.611,4838512.321,1940,2021,2017,29363
N/A,3,15,N/A,3,3,2021-12-20,3,2,2,3,N/A,5,E2034,2,2,3,43.688423918,2,-79.269500963,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4156385,53,2,1481 KINGSTON RD,2,N/A,20,Scarborough Southwest,3,323393.784,4838549.187,1940,2021,2017,29364
N/A,3,10,N/A,3,3,2021-12-20,3,3,4,4,N/A,5,E2034,3,3,3,43.690864521,2,-79.265477585,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4155805,64,3,1633 KINGSTON RD,3,3,20,Scarborough Southwest,3,323718.011,4838812.556,1950,2021,2017,29365
N/A,3,11,N/A,3,3,2021-12-20,3,3,4,3,N/A,5,E2034,3,3,3,43.690864521,2,-79.265477585,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155806,63,3,1641 KINGSTON RD,3,3,20,Scarborough Southwest,3,323718.011,4838812.556,1950,2021,2017,29366
3,6,102,4,4,4,2021-12-20,4,4,4,3,3,5,E2023,4,3,4,43.7294157081,4,-79.2774083068,20,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152677,78,5,835-841 BIRCHMOUNT RD,4,4,20,Scarborough Southwest,4,322716.837,4843074.44,1992,2021,2017,29367
N/A,3,10,N/A,3,3,2021-12-20,3,3,3,3,N/A,5,E2023,4,3,4,43.7234871181,3,-79.2660288594,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152666,69,5,115 FOXRIDGE DR,3,N/A,20,Scarborough Southwest,4,323635.43,4842418.318,1958,2021,2020,29368
N/A,3,11,N/A,3,3,2021-12-20,4,4,4,3,N/A,4,E2033,3,3,3,43.6873957416,3,-79.2836217678,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4331737,68,4,2511 GERRARD ST E,3,N/A,20,Scarborough Southwest,4,322228.491,4838404.904,1954,2021,,29369
N/A,3,11,N/A,4,4,2021-12-20,4,4,4,3,N/A,5,E2021,4,4,4,43.7221830841,3,-79.2995646388,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152618,78,4,19 ENGELHART CRES,4,3,20,Scarborough Southwest,4,320933.879,4842266.448,1956,2021,2017,29370
4,3,11,N/A,3,3,2021-12-20,4,4,4,5,N/A,5,N0627,2,3,4,43.735513832,3,-79.484593132,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4167691,73,3,2956 KEELE ST,3,N/A,06,York Centre,4,306025.356,4843729.057,1960,2021,2017,29371
4,6,60,4,4,4,2021-12-17,3,4,4,4,N/A,5,W0325,4,3,3,43.638794444,5,-79.508763602,17,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4155224,73,4,800 ROYAL YORK RD,3,2,03,Etobicoke-Lakeshore,2,304076.947,4832984.053,1965,2021,2017,29372
4,12,117,3,4,4,2021-12-17,4,4,5,3,3,5,N0622,5,4,5,43.7849660772,4,-79.4478362845,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154626,81,5,15 ROCKFORD RD,4,N/A,06,York Centre,3,308983.144,4849223.218,1965,2021,2017,29373
3,13,144,4,5,4,2021-12-17,4,4,5,3,5,5,N0630,5,5,5,43.7553047616,4,-79.436948304,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154694,88,5,569 SHEPPARD AVE W,5,N/A,06,York Centre,4,309861.967,4845928.563,1961,2021,2017,29374
5,13,128,5,5,5,2021-12-17,5,5,5,5,5,5,N0622,5,4,5,43.7860767435,5,-79.447735502,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154632,98,5,12 ROCKFORD RD,5,N/A,06,York Centre,5,308991.179,4849346.616,1964,2021,2017,29375
4,12,117,5,4,4,2021-12-17,4,4,4,3,4,5,N0622,4,4,5,43.7839479718,4,-79.4474754127,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154628,83,5,18 CEDARCROFT BLVD,4,N/A,06,York Centre,4,309012.262,4849110.129,1965,2021,2017,29376
4,21,237,5,4,4,2021-12-17,4,4,4,3,5,5,N0624,5,3,5,43.7579977095,5,-79.4369177756,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154699,84,5,35 CANYON AVE,4,N/A,06,York Centre,4,309864.198,4846227.739,1959,2021,2017,29377
3,3,48,N/A,4,2,2021-12-16,3,4,4,3,N/A,5,S1330,3,2,3,43.66223715,2,-79.361553726,16,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4167687,66,5,260 SUMACH ST,2,N/A,13,Toronto Centre,4,315950.172,4835597.5,1948,2021,2017,29378
4,22,129,5,5,4,2021-12-15,4,4,4,4,3,2,S1421,5,4,5,43.6881435504,4,-79.3536043403,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154111,82,5,25 COSBURN AVE,5,N/A,14,Toronto-Danforth,4,316586.531,4838475.75,1962,2021,2017,29379
5,12,173,3,5,5,2021-12-15,2,4,4,5,4,5,S1421,5,4,4,43.6891373921,4,-79.3519022582,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154130,82,5,50 COSBURN AVE,3,4,14,Toronto-Danforth,4,316723.546,4838586.397,1965,2021,2017,29380
3,6,74,3,5,4,2021-12-15,3,4,4,3,N/A,5,W0331,4,3,4,43.6092105194,4,-79.5462107894,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155217,74,5,270 SHELDON AVE,3,3,03,Etobicoke-Lakeshore,3,301054.105,4829697.381,1960,2021,2017,29381
3,4,27,N/A,4,3,2021-12-15,3,3,3,5,N/A,5,E2029,3,3,4,43.7107990699,3,-79.2702992344,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152613,73,5,540 BIRCHMOUNT RD,4,N/A,20,Scarborough Southwest,4,323295.275,4841007.788,1960,2021,2017,29382
N/A,7,76,5,4,4,2021-12-14,4,4,4,4,4,5,W0331,5,4,5,43.6084801152,4,-79.5465065872,18,5,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155218,84,4,256 SHELDON AVE,4,N/A,03,Etobicoke-Lakeshore,3,301030.182,4829616.243,1982,2021,2017,29383
3,10,112,3,3,2,2021-12-14,3,4,3,3,2,5,W0221,3,2,3,,3,,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4303769,60,4,63 CALLOWHILL DR,2,3,02,Etobicoke Centre,3,299662.554,4837921.687,1968,2021,2018,29384
5,6,75,5,5,4,2021-12-13,5,4,3,4,3,5,E2023,5,4,4,43.7296310615,4,-79.2767123962,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152678,84,5,2223 EGLINTON AVE E,3,N/A,20,Scarborough Southwest,4,322772.838,4843098.516,1971,2021,2017,29385
4,3,45,N/A,3,3,2021-12-13,3,4,4,3,N/A,3,E2023,4,3,4,43.727206754,3,-79.263241732,16,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4156240,70,4,30 EPPLEWORTH RD,3,N/A,20,Scarborough Southwest,4,323854.783,4842776.82,1969,2021,2017,29386
3,3,36,N/A,3,3,2021-12-13,3,4,4,3,N/A,3,E2023,4,3,4,43.726760854,3,-79.263575088,16,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4156455,66,3,20 EPPLEWORTH RD,3,N/A,20,Scarborough Southwest,3,323859.729,4842772.896,1969,2021,2017,29387
3,3,10,N/A,4,3,2021-12-13,5,4,3,4,N/A,5,N0624,3,3,3,43.7648967345,3,-79.4644796149,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154617,72,4,81 GARTHDALE CRT,3,3,06,York Centre,4,307644.521,4846992.893,1959,2021,2017,29388
N/A,3,11,N/A,3,3,2021-12-13,4,4,3,3,N/A,5,N0627,4,4,4,43.7314423393,3,-79.4836241974,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154425,68,3,2852 KEELE ST,3,3,06,York Centre,3,306103.75,4843275.795,1945,2021,2017,29389
N/A,4,42,N/A,4,3,2021-12-13,3,4,3,3,N/A,5,S0436,3,3,4,43.6387814414,4,-79.4452145314,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153003,72,4,1623 QUEEN ST W,4,4,04,Parkdale-High Park,3,309204.71,4832982.945,1922,2021,2017,29390
5,4,30,5,5,4,2021-12-13,4,4,3,4,4,5,E2029,4,4,4,43.7134790514,4,-79.2732946837,19,N/A,5,PRIVATE,Evaluation needs to be conducted in 2 years,4152609,85,5,3423 ST CLAIR AVE E,4,4,20,Scarborough Southwest,4,323053.066,4841304.866,1968,2021,2017,29391
N/A,4,30,N/A,5,4,2021-12-13,4,4,4,4,N/A,5,E2033,5,4,5,43.6753306295,5,-79.2779449422,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152559,89,5,3000 QUEEN ST E,4,5,20,Scarborough Southwest,5,322689.673,4837065.722,1954,2021,2017,29392
5,4,58,4,4,3,2021-12-13,4,4,4,4,N/A,5,N0629,5,5,5,43.741815421,4,-79.4356700472,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154596,86,5,3880 BATHURST ST,4,4,06,York Centre,4,309966.025,4844430.022,1960,2021,2017,29393
