organisation,"portée géographie, anglais","portée géographie, français","secteur, anglais","secteur, français",code postale,ville,code de la province,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français","nom de la division de recensement, anglais","nom de la division de recensement, français",nom de la subdivision de recensement,nom de la région métropolitaine de recensement,type de classification des secteurs statistiques (CSS),code de classification des secteurs statistiques (CSS),latitude,longitude,
ACFA - régionale de Red Deer,01 regional,01 régional,01 community development,01 développement communautaire,T4N1X7,Red Deer,48,Western Region,Région de l'Ouest,Alberta,Alberta,Red Deer,Red Deer,Division No. 8,Division No. 8,Red Deer,Red Deer,2,830,52.268954,-113.812295,RED DEER
ACFA - régionale de Rivière-La-Paix,01 regional,01 régional,01 community development,01 développement communautaire,T0H1M0,Falher,48,Western Region,Région de l'Ouest,Alberta,Alberta,Athabasca - Grande Prairie - Peace River,Athabasca - Grande Prairie - Peace River,Division No. 19,Division No. 19,Falher,,6,998,55.735833,-117.195239,FALHER
ACFA - régionale de Saint-Paul,01 regional,01 régional,01 community development,01 développement communautaire,T0A3A0,St. Paul T,48,Western Region,Région de l'Ouest,Alberta,Alberta,Wood Buffalo - Cold Lake,Wood Buffalo - Cold Lake,Division No. 12,Division No. 12,St. Paul,,6,998,53.991988,-111.29613,ST PAUL
ACFA - régionale de Wood Buffalo,01 regional,01 régional,01 community development,01 développement communautaire,T9J1B2,Fort McMurray,48,Western Region,Région de l'Ouest,Alberta,Alberta,Wood Buffalo - Cold Lake,Wood Buffalo - Cold Lake,Division No. 16,Division No. 16,Wood Buffalo,Wood Buffalo,3,860,56.707357,-111.371717,FORT MCMURRAY
ACFA - régionale d'Edmonton,01 regional,01 régional,01 community development,01 développement communautaire,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
ACFO - Alliance de la francophonie de Timmins,01 regional,01 régional,01 community development,01 développement communautaire,P4N7X8,Timmins,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Timmins,Timmins,3,586,48.47396,-81.335182,TIMMINS
ACFO - Cochrane-Iroquois Falls,01 regional,01 régional,01 community development,01 développement communautaire,P0L1C0,Cochrane,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Cochrane,,6,998,49.063322,-81.024942,COCHRANE
ACFO - Grand Sudbury,01 regional,01 régional,01 community development,01 développement communautaire,P3A6B1,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.512254,-80.99915,SUDBURY
ACFO - Hamilton,01 regional,01 régional,01 community development,01 développement communautaire,L8M1J5,Hamilton C,35,Ontario,Ontario,Ontario,Ontario,Hamilton - Niagara Peninsula,Hamilton - Niagara Peninsula,Hamilton,Hamilton,Hamilton,Hamilton,1,537,43.249282,-79.845486,HAMILTON
ACFO - Kirkland Lake,01 regional,01 régional,01 community development,01 développement communautaire,P2N2V9,Kirkland Lake T,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Timiskaming,Timiskaming,Kirkland Lake,,6,998,48.143312,-80.033384,KIRKLAND LAKE
ACFO - London-Sarnia,01 regional,01 régional,01 community development,01 développement communautaire,N6A5A9,London,35,Ontario,Ontario,Ontario,Ontario,London,London,Middlesex,Middlesex,London,London,1,555,42.985811,-81.251842,LONDON
ACFO - Mille-Îles,01 regional,01 régional,01 community development,01 développement communautaire,K7L5H6,Kingston,35,Ontario,Ontario,Ontario,Ontario,Kingston - Pembroke,Kingston - Pembroke,Frontenac,Frontenac,Kingston,Kingston,1,521,44.260123,-76.450979,KINGSTON
ACFO - Ottawa,01 regional,01 régional,01 community development,01 développement communautaire,K1K1N1,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.427341,-75.66434,OTTAWA
ACFO - Prescott Russell,01 regional,01 régional,01 community development,01 développement communautaire,K0B1A0,Alfred,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,Alfred and Plantagenet,,4,996,45.557844,-74.880345,ALFRED
ACFO - Renfrew,01 regional,01 régional,01 community development,01 développement communautaire,K8A4V1,Pembroke,35,Ontario,Ontario,Ontario,Ontario,Kingston - Pembroke,Kingston - Pembroke,Renfrew,Renfrew,Pembroke,Pembroke,3,515,45.823052,-77.126714,PEMBROKE
ACFO - Stormont - Dundas et Glengarry,01 regional,01 régional,01 community development,01 développement communautaire,K6H1S1,Cornwall,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,"Stormont, Dundas and Glengarry","Stormont, Dundas and Glengarry",Cornwall,Cornwall,3,501,45.0202,-74.712876,CORNWALL
ACFO - Temiskaming,01 regional,01 régional,01 community development,01 développement communautaire,P0J1P0,New Liskeard,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Timiskaming,Timiskaming,Temiskaming Shores,Temiskaming Shores,3,584,47.508275,-79.748845,NEW LISKEARD
ACFO - Windsor-Essex-Kent,01 regional,01 régional,01 community development,01 développement communautaire,N8T3P5,Windsor,35,Ontario,Ontario,Ontario,Ontario,Windsor - Sarnia,Windsor - Sarnia,Essex,Essex,Windsor,Windsor,1,559,42.298473,-82.925373,WINDSOR
Action et développement jeunesse,01 regional,01 régional,01 community development,01 développement communautaire,K1H7Y3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.384318,-75.672339,OTTAWA
Actions femmes l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
African Canadian Development and Prevention Network,01 regional,01 régional,06 health and social services,06 services sociaux et de la santé,H3S2B8,Montreal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.504442,-73.639537,MONTREAL
Afrique nouvelle musique,01 regional,01 régional,02 culture,02 culture,M6P4G5,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.657861,-79.449377,TORONTO
Agence Nationale et Internationale du Manitoba,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,R2H0G4,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.892734,-97.119915,WINNIPEG
Alliance Chorale Manitoba,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Alliance culturelle de l'Ontario,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1L6C4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.436677,-75.660451,VANIER
Alliance des femmes de la francophonie canadienne,04 national,04 national,01 community development,01 développement communautaire,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Alliance des Producteurs Francophones du Canada,04 national,04 national,02 culture,02 culture,K1S4E1,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.397004,-75.696305,OTTAWA
Alliance des radios communautaires du Canada,04 national,04 national,04 media and information technology,04 média et technologies de l'information,K1N7G2,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.428477,-75.690493,OTTAWA
Alliance jeunesse-famille de l'Alberta society,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,T6C0Z2,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.517885,-113.465672,EDMONTON
Alliance nationale de l'industrie musicale,04 national,04 national,02 culture,02 culture,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Assemblée communautaire fransaskoise,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,S4P0W1,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.445452,-104.615879,REGINA
Assemblée de la francophonie de l'Ontario,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,K1B3W6,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.415744,-75.615944,GLOUCESTER
Assemblée des communautés Francophones de l'Ontario - Durham-Peterborough,01 regional,01 régional,01 community development,01 développement communautaire,L1H4K5,Oshawa,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Durham,Durham,Oshawa,Oshawa,1,532,43.878338,-78.852783,OSHAWA
Assemblée Francophone des Retraites et Aînés de la Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,V8Y2T3,Saanich DM,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Capital,Capital,Saanich,Victoria,1,935,48.512079,-123.373182,VICTORIA
Association acadienne des artistes professionnel.le.s du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,E1C4X5,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.092831,-64.777542,MONCTON
Association acadienne et francophone des aînées et aînés du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,E1A6V3,Dieppe,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Dieppe,Moncton,1,305,46.09787,-64.757972,DIEPPE
Association canadienne-française de l'Alberta,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Association canadienne-française de Regina,01 regional,01 régional,01 community development,01 développement communautaire,S4S7J5,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.415886,-104.603021,REGINA
Association communautaire francophone de Bellegarde,01 regional,01 régional,01 community development,01 développement communautaire,S0C0J0,Bellegarde,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 1,Division No. 1,Storthoaks No. 31,,7,999,49.53479,-101.55324,BELLEGARDE
Association communautaire francophone de St-Jean,01 regional,01 régional,01 community development,01 développement communautaire,A1B4P5,Saint-Jean,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,Avalon Peninsula,Avalon Peninsula,Division No. 1,Division No. 1,St. John's,St. John's,1,001,47.590009,-52.736763,ST. JOHN'S
Association communautaire fransaskoise de Gravelbourg,01 regional,01 régional,01 community development,01 développement communautaire,S0H1X0,Gravelbourg,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Swift Current - Moose Jaw,Swift Current - Moose Jaw,Division No. 3,Division No. 3,Gravelbourg,,6,998,49.874572,-106.559345,GRAVELBOURG
Association communautaire fransaskoise de la Trinité,01 regional,01 régional,01 community development,01 développement communautaire,S0K3W0,Clavet,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 15,Division No. 15,Grant No. 372,,5,997,51.996383,-106.375091,ST DENIS
Association communautaire fransaskoise de Moose Jaw,01 regional,01 régional,01 community development,01 développement communautaire,S6H1K4,Moose Jaw,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Swift Current - Moose Jaw,Swift Current - Moose Jaw,Division No. 7,Division No. 7,Moose Jaw,Moose Jaw,3,715,50.393957,-105.542351,MOOSE JAW
Association culturelle franco-manitobaine,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H2P9,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.895303,-97.109355,WINNIPEG
Association de la presse francophone,04 national,04 national,04 media and information technology,04 média et technologies de l'information,K1N7E3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.430649,-75.692434,OTTAWA
Association des auteures et auteurs de l'Ontario français,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1N7J3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.430312,-75.689175,OTTAWA
Association des collèges et universités de la francophonie canadienne,04 national,04 national,03 education,03 éducation,K1S1C4,0,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.408055,-75.677277,OTTAWA
Association des communautés Francophones de l'Ontario à Toronto,01 regional,01 régional,01 community development,01 développement communautaire,M5V3C1,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.646369,-79.396807,TORONTO
Association des francophones de Fort Smith,01 regional,01 régional,01 community development,01 développement communautaire,X0E0P0,Fort Smith T,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 5,Region 5,0,,8,000,60.005422,-111.876882,FORT SMITH
Association des francophones de Kitchener-Waterloo,01 regional,01 régional,01 community development,01 développement communautaire,N2J4S1,Waterloo,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Waterloo,Waterloo,Waterloo,Kitchener - Cambridge - Waterloo,1,541,43.462043,-80.508329,WATERLOO
Association des francophones de la Région de York,01 regional,01 régional,01 community development,01 développement communautaire,L4G0E1,Aurora,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,York,York,Aurora,Toronto,1,535,43.98503,-79.403824,AURORA
Association des francophones de Nanaimo,01 regional,01 régional,01 community development,01 développement communautaire,V9S1H1,Nanaimo,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Nanaimo,Nanaimo,Nanaimo,Nanaimo,2,938,49.18592,-123.984359,NANAIMO
Association des francophones des Kootenays Ouest,01 regional,01 régional,01 community development,01 développement communautaire,V1L1T3,Nelson,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Kootenay,Kootenay,Central Kootenay,Central Kootenay,Nelson,,6,998,49.490137,-117.292373,NELSON
Association des francophones du delta du Mackenzie,01 regional,01 régional,01 community development,01 développement communautaire,X0E0T0,Inuvik T,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 1,Region 1,0,,8,000,68.369088,-133.731931,INUVIK
Association des francophones du Nord-Ouest de l'Ontario,01 regional,01 régional,01 community development,01 développement communautaire,P7B6C6,Thunder Bay,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,1,595,48.426494,-89.232298,THUNDER BAY
Association des francophones du Nunavut,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,X0A0H0,Iqaluit,62,Prairies/Territories Region,Région des Prairies et du Nord,Nunavut,Nunavut,Nunavut,Nunavut,Baffin,Baffin,Iqaluit,,8,000,63.759501,-68.509273,IQALUIT
Association des francophones et francophiles du Nord-Ouest,01 regional,01 régional,01 community development,01 développement communautaire,V8J4M8,Prince Rupert,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,North Shore,Côte-nord,Skeena-Queen Charlotte,Skeena-Queen Charlotte,Prince Rupert,Prince Rupert,3,955,54.317554,-130.319373,PRINCE RUPERT
Association des groupes en arts visuels francophones,04 national,04 national,02 culture,02 culture,K1N5Z8,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.432343,-75.677043,OTTAWA
Association des Juristes d'Expression Française de l'Alberta,02 provincial / territorial,02 provincial / territorial,07 justice and legal,07 justice et droit,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Association des municipalités bilingues du Manitoba,02 provincial / territorial,02 provincial / territorial,09 governmental,09 gouvernemental,R2H2P9,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.895303,-97.109355,WINNIPEG
Association des parents ayants droit de Yellowknife,01 regional,01 régional,03 education,03 éducation,X1A1N3,Yellowknife,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 6,Region 6,Yellowknife,Yellowknife,3,995,62.454473,-114.368161,YELLOWKNIFE
Association des parents francophones du Nunavut,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,X0A0H0,Yellowknife,62,Prairies/Territories Region,Région des Prairies et du Nord,Nunavut,Nunavut,Nunavut,Nunavut,Baffin,Baffin,Iqaluit,,8,000,63.746487,-68.516808,IQALUIT
Association des parents fransaskois,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,S7H2C6,Saskatoon,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.111818,-106.647536,SASKATOON
Association des professionnels de la chanson et de la musique,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Association des radios communautaires acadiennes du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,E1C8P9,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.084549,-64.782443,MONCTON
Association des Radios Communautaires de l'Ouest et des Territoires,03 interprovincial,03 interprovincial,04 media and information technology,04 média et technologies de l'information,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Association des théâtres francophones du Canada,04 national,04 national,02 culture,02 culture,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Association des Universités du Troisième Âge du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,E1A7S2,Dieppe,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Dieppe,Moncton,1,305,46.093538,-64.736577,DIEPPE
Association du Musée Acadien de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,C0B1T0,Lot 16,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Lot 15,,4,996,46.425989,-63.876089,MISCOUCHE
Association française des municipalités de l'Ontario,02 provincial / territorial,02 provincial / territorial,09 governmental,09 gouvernemental,K4B1H9,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.456701,-75.417928,NAVAN
Association franco-culturelle de Hay River,01 regional,01 régional,01 community development,01 développement communautaire,X0E1G2,Hay River T,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 5,Region 5,0,,8,000,60.810504,-115.784442,HAY RIVER
Association franco-culturelle de Yellowknife,01 regional,01 régional,02 culture,02 culture,X1A2P2,Yellowknife,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 6,Region 6,Yellowknife,Yellowknife,3,995,62.454613,-114.371025,YELLOWKNIFE
Association Francophone de Brooks,01 regional,01 régional,01 community development,01 développement communautaire,T1R0C5,Brooks,48,Western Region,Région de l'Ouest,Alberta,Alberta,Lethbridge - Medicine Hat,Lethbridge - Medicine Hat,Division No. 2,Division No. 2,Brooks,Brooks,3,806,50.569475,-111.918772,BROOKS
Association francophone de Campbell River,01 regional,01 régional,01 community development,01 développement communautaire,V9W4G9,Campbell River,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Strathcona,Strathcona,0,Campbell River,3,944,50.028072,-125.254713,CAMPBELL RIVER
Association francophone de Kamloops,01 regional,01 régional,01 community development,01 développement communautaire,V2B2J1,Kamloops,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Thompson - Okanagan,Thompson - Okanagan,Thompson-Nicola,Thompson-Nicola,Kamloops,Kamloops,2,925,50.68956,-120.349987,KAMLOOPS
Association francophone de la vallée,01 regional,01 régional,01 community development,01 développement communautaire,B0P1N0,Greenwood,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Annapolis Valley,Annapolis Valley,Kings,Kings,"Kings, Subd. A",,5,997,44.972396,-64.93363,GREENWOOD
Association Francophone de la Vallée de Comox,01 regional,01 régional,01 community development,01 développement communautaire,V9N2N1,Courtenay,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Comox Valley,Comox Valley,0,Courtenay,3,943,49.680782,-124.987512,COURTENAY
